14 Mar,14,14,0,0,0,0
15 Mar,18,32,0,0,0,0
16 Mar,6,38,0,0,0,0
17 Mar,3,41,1,1,0,0
18 Mar,3,44,0,1,0,0
19 Mar,4,48,0,1,0,0
20 Mar,4,52,0,1,0,0
21 Mar,12,64,0,1,0,0
22 Mar,10,74,1,2,0,0
23 Mar,23,97,0,2,0,0
24 Mar,10,107,0,2,0,0
25 Mar,15,122,0,2,1,1
26 Mar,3,125,1,3,0,1
27 Mar,31,156,1,4,18,19
28 Mar,30,186,2,6,6,25
29 Mar,17,203,1,7,0,25
30 Mar,17,220,2,9,14,39
31 Mar,82,302,1,10,0,39
1 Apr,33,335,3,13,0,39
2 Apr,88,423,8,21,3,42
3 Apr,64,487,5,26,8,50
4 Apr,148,635,6,32,2,52
5 Apr,112,747,13,45,4,56
6 Apr,121,868,7,52,14,70
7 Apr,150,1018,12,64,9,79